certificateId,studentName,Email,internshipDomain,startDate,endDate
CERT123,Ramesh,Ramesh@gmail.com,web development,01-01-2024,01-03-2024
CERT234,Ritik,Ritik@gmail.com,Software development,01-03-2024,01-05-2024
CERT450,vivek,vivek@gmail.com,APP development,01-05-2023,02-07-2023
CERT124,Aakash-k,Aakash-k@gmail.com,Web Development,09-06-2016,13-10-2018
CERT125,Sahithyan-M,Sahithyan-M@gmail.com,Web Development,27-05-2017,18-09-2017
CERT126,Vivek-Kumar,Vivek-Kumar@gmail.com,Web Development,06-05-2013,22-01-2015
CERT127,Vivek,Vivek@gmail.com,Web Development,26-12-2018,24-09-2020
CERT128,Vivek,Vivek@gmail.com,Web Development,28-04-2013,15-01-2017
CERT129,Ritik,Ritik@gmail.com,Web Development,01-07-2012,18-12-2015
CERT130,Ritik,Ritik@gmail.com,Web Development,19-05-2010,12-06-2016
CERT131,Ritik,Ritik@gmail.com,Web Development,22-09-2017,20-01-2018
CERT132,Ramesh,Ramesh@gmail.com,Web Development,23-11-2013,13-07-2014
